url,exchange,preference,class,type
arlingtonwa.gov,d138933a.ess.barracudanetworks.com.,0,IN,MX
arm.gov,mxb-00689501.gslb.gpphosted.com.,10,IN,MX
arpa-h.gov,nihcesxway4.hub.nih.gov.,10,IN,MX
arpah.gov,nihcesxwayst06.hub.nih.gov.,10,IN,MX
ars-grin.gov,usda-gov.mail.protection.outlook.com.,5,IN,MX
artesianm.gov,artesianm-gov.mail.protection.outlook.com.,10,IN,MX
arthur-il.gov,aspmx.l.google.com.,1,IN,MX
artreasury.gov,d126328a.ess.barracudanetworks.com.,10,IN,MX
artrs.gov,mail.artrs.gov.,10,IN,MX
arts.gov,arts-gov.mail.eo.outlook.com.,0,IN,MX
arvadafireco.gov,arvadafireco-gov.mail.protection.outlook.com.,0,IN,MX
as.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
asc.gov,asc-gov.mail.protection.outlook.com.,0,IN,MX
ascensionparishla.gov,ascensionparishla-gov.mail.protection.outlook.com.,4,IN,MX
aselectionoffice.gov,mail.aselectionoffice.gov.,0,IN,MX
ashburnham-ma.gov,ashburnhamma-gov02e.mail.protection.outlook.com.,0,IN,MX
ashbyma.gov,ashbyma-gov.mail.protection.outlook.com.,0,IN,MX
asheboronc.gov,mail.asheboronc.gov.,10,IN,MX
ashevillenc.gov,aspmx.l.google.com.,1,IN,MX
ashgrovemo.gov,ashgrovemo-gov.mail.protection.outlook.com.,0,IN,MX
ashlandcitytn.gov,ashlandcitytn-gov.mail.protection.outlook.com.,0,IN,MX
ashlandcountywi.gov,d296494a.ess.barracudanetworks.com.,10,IN,MX
ashlandky.gov,ashlandky-gov.mail.protection.outlook.com.,0,IN,MX
ashlandva.gov,ashlandva-gov.mail.protection.outlook.com.,0,IN,MX
ashtabulacountyprosecutoroh.gov,ashtabulacountyprosecutoroh.gov.,0,IN,MX
ashtonid.gov,ashtonid-gov.mail.protection.outlook.com.,0,IN,MX
ashvilleohio.gov,ashvilleohio-gov.mail.protection.outlook.com.,0,IN,MX
ashwaubenon.gov,ashwaubenon-gov.mail.protection.outlook.com.,0,IN,MX
asianpacificheritage.gov,pps2b.loc.gov.,5,IN,MX
aspen.gov,aspen-gov.mail.protection.outlook.com.,0,IN,MX
aspr.gov,aspr-gov.mail.protection.outlook.com.,0,IN,MX
assumptionla.gov,assumptionla-gov.mail.protection.outlook.com.,0,IN,MX
assumptionoep-la.gov,assumptionoepla-gov03c.mail.protection.outlook.com.,0,IN,MX
assyriatwpmi.gov,assyriatwpmi.gov.,0,IN,MX
atchisonkspolice.gov,atchisonkspolice-gov.mail.protection.outlook.com.,0,IN,MX
atf.gov,mx-da6.usdoj.gov.,10,IN,MX
athelstanewiclerk.gov,athelstaneWIclerk-gov.mail.protection.outlook.com.,0,IN,MX
athensil.gov,spam-spi-il.agcomtech.com.,0,IN,MX
athenstn.gov,athenstn-gov.mail.protection.outlook.com.,0,IN,MX
athenstx.gov,athenstx-gov.mail.protection.outlook.com.,0,IN,MX
athensvillageny.gov,athensvillageny-gov.mail.protection.outlook.com.,0,IN,MX
athensvt.gov,athensvt-gov.mail.protection.outlook.com.,0,IN,MX
atkinson-nh.gov,atkinson-nh-gov.mx1-na.mailanyone.net.,10,IN,MX
atlantaga.gov,mxa-003fa601.gslb.pphosted.com.,0,IN,MX
atlanticcountynj.gov,route3.mx.cloudflare.net.,2,IN,MX
atlantisfl.gov,d198042a.ess.barracudanetworks.com.,10,IN,MX
atlasalabama.gov,smtp.secureserver.net.,10,IN,MX
attawauganfirect.gov,aspmx1.migadu.com.,10,IN,MX
attica-in.gov,atticain-gov01e.mail.protection.outlook.com.,0,IN,MX
attorneygeneral.gov,cust59467-1.in.mailcontrol.com.,10,IN,MX
atwatermn.gov,d282772a.ess.barracudanetworks.com.,10,IN,MX
aubreytx.gov,aubreytx-gov.mail.protection.outlook.com.,0,IN,MX
auburnmaine.gov,auburnmaine-gov.mail.protection.outlook.com.,10,IN,MX
auburnmi.gov,auburnmi.gov.,0,IN,MX
auburnny.gov,d294744a.ess.barracudanetworks.com.,10,IN,MX
auburnwa.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
auduboncountyia.gov,auduboncountyIa-gov.mail.protection.outlook.com.,0,IN,MX
auglaizecounty-ohio.gov,mail.auglaizecounty-ohio.gov.,0,IN,MX
augustacounty-va.gov,www.augustacounty-va.gov.,0,IN,MX
augustacountyva.gov,www.augustacountyva.gov.,0,IN,MX
augustaga.gov,augustaga-gov.mail.protection.outlook.com.,10,IN,MX
augustaky.gov,augustaky.gov.,0,IN,MX
augustamaine.gov,augustamaine-gov.mail.protection.outlook.com.,0,IN,MX
augustinetribe-nsn.gov,mx01.augustinecasino.com.,10,IN,MX
aultcolorado.gov,aultcolorado-gov.mail.protection.outlook.com.,0,IN,MX
auroramo.gov,AuroraMo-gov.mail.protection.outlook.com.,0,IN,MX
auroratexas.gov,aspmx.l.google.com.,1,IN,MX
ausabletwp-mi.gov,ausabletwp-mi.gov.,0,IN,MX
austellga.gov,austellga-gov.mail.protection.outlook.com.,0,IN,MX
austin.gov,.,0,IN,MX
austintexas.gov,austintexas-gov.mail.protection.outlook.com.,10,IN,MX
austintx.gov,.,0,IN,MX
averycountync.gov,averycountync-gov.mail.protection.outlook.com.,0,IN,MX
avon-ma.gov,avonma-gov01b.mail.protection.outlook.com.,0,IN,MX
avonct.gov,mx2-us1.ppe-hosted.com.,15,IN,MX
avondaleaz.gov,mxa-00722001.gslb.pphosted.com.,10,IN,MX
avondaleestatesga.gov,avondaleestatesga-gov.mail.protection.outlook.com.,1,IN,MX
avonindiana.gov,avonindiana-gov.mx1.arsmtp.com.,10,IN,MX
avss-nd.gov,avss-nd.gov.1.0001.arsmtp.com.,10,IN,MX
az-fhsd.gov,azfhsd-gov0e.mail.protection.outlook.com.,0,IN,MX
az.gov,aspmx.l.google.com.,1,IN,MX
az511.gov,aspmx.l.google.com.,1,IN,MX
az529.gov,alt1.aspmx.l.google.com.,0,IN,MX
azaccountancy.gov,aspmx.l.google.com.,1,IN,MX
azadc.gov,aspmx.l.google.com.,1,IN,MX
azag.gov,azag-gov.mail.protection.outlook.com.,0,IN,MX
azahcccs.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
azarts.gov,aspmx.l.google.com.,1,IN,MX
azasrs.gov,aspmx.l.google.com.,1,IN,MX
azauditor.gov,azauditor-gov.mail.protection.outlook.com.,0,IN,MX
azbn.gov,aspmx.l.google.com.,1,IN,MX
azboc.gov,aspmx.l.google.com.,1,IN,MX
azboxingandmma.gov,aspmx.l.google.com.,1,IN,MX
azbtr.gov,aspmx.l.google.com.,1,IN,MX
azcapitolmuseum.gov,mx-caprica.easydns.com.,0,IN,MX
azcc.gov,azcc-gov.mail.protection.outlook.com.,10,IN,MX
azcjc.gov,aspmx.l.google.com.,1,IN,MX
azcleanelections.gov,aspmx.l.google.com.,1,IN,MX
azcorrections.gov,aspmx.l.google.com.,1,IN,MX
azcourts.gov,_dc-mx.61c988981dc5.azcourts.gov.,10,IN,MX
azda.gov,aspmx.l.google.com.,1,IN,MX
azdc.gov,aspmx.l.google.com.,1,IN,MX
azdcs.gov,azdcs-gov.mail.protection.outlook.com.,0,IN,MX
azdema.gov,aspmx.l.google.com.,1,IN,MX
azdeq.gov,aspmx.l.google.com.,1,IN,MX
azdes.gov,aspmx.l.google.com.,1,IN,MX
azdfi.gov,aspmx.l.google.com.,1,IN,MX
azdhs.gov,aspmx.l.google.com.,1,IN,MX
azdjc.gov,aspmx.l.google.com.,1,IN,MX
azdo.gov,aspmx.l.google.com.,1,IN,MX
azdoa.gov,aspmx.l.google.com.,1,IN,MX
azdoc.gov,aspmx.l.google.com.,1,IN,MX
azdohs.gov,aspmx.l.google.com.,1,IN,MX
azdor.gov,aspmx.l.google.com.,1,IN,MX
azdosh.gov,aspmx.l.google.com.,1,IN,MX
azdot.gov,aspmx.l.google.com.,1,IN,MX
azdps.gov,azdps-gov.mail.protection.outlook.com.,10,IN,MX
azdpsapps.gov,azdpsapps-gov.mail.protection.outlook.com.,0,IN,MX
azdvs.gov,aspmx.l.google.com.,1,IN,MX
azed.gov,azed-gov.mail.protection.outlook.com.,0,IN,MX
azein.gov,azein-gov.mail.protection.outlook.com.,0,IN,MX
azftf.gov,aspmx.l.google.com.,1,IN,MX
azgaming.gov,aspmx.l.google.com.,1,IN,MX
azgfd.gov,aspmx.l.google.com.,1,IN,MX
azgohs.gov,aspmx.l.google.com.,1,IN,MX
azgovernor.gov,azgovernor.gov.,10,IN,MX
azhighered.gov,alt4.aspmx.l.google.com.,0,IN,MX
azhouse.gov,mail.azhouse.gov.,10,IN,MX
azhousing.gov,aspmx.l.google.com.,1,IN,MX
azhs.gov,aspmx.l.google.com.,1,IN,MX
azica.gov,aspmx.l.google.com.,1,IN,MX
azinsurance.gov,aspmx.l.google.com.,1,IN,MX
