url,exchange,preference,class,type
azdhs.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azdjc.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azdo.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azdoa.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azdoc.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azdohs.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azdor.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azdosh.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
azdot.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azdps.gov,,,,
azdpsapps.gov,,,,
azdvs.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azed.gov,,,,
azein.gov,,,,
azftf.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azgaming.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azgfd.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
azgohs.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azgovernor.gov,,,,
azhighered.gov,aspmx.l.google.com.,0.0,IN,MX
azhouse.gov,,,,
azhousing.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
azhs.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azica.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azinsurance.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azjlbc.gov,,,,
azland.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azleg.gov,,,,
azlibrary.gov,,,,
azliquor.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azlottery.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azmag.gov,,,,
azmd.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azoca.gov,,,,
azot.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azpa.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azpharmacy.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azpost.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azppse.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
azre.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
azroc.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azrra.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azruco.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azsal.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azsenate.gov,,,,
azsfb.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azsos.gov,,,,
azstateparks.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
aztaxes.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
aztecnm.gov,,,,
aztransportationboard.gov,,,,
aztreasurer.gov,,,,
aztreasury.gov,,,,
azusaca.gov,d220163b.ess.barracudanetworks.com.,20.0,IN,MX
azwater.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azwifa.gov,,,,
baaqmd.gov,,,,
bacacountyco.gov,mx2.emailsrvr.com.,20.0,IN,MX
badenpa.gov,,,,
badriver-nsn.gov,,,,
bagleytownshipmi.gov,,,,
baileysharborwi.gov,,,,
bainbridgewa.gov,,,,
bakercity.gov,,,,
bakercitypd.gov,,,,
bakercountyor.gov,d307319a.ess.barracudanetworks.com.,10.0,IN,MX
baldwincity.gov,usb-smtp-inbound-2.mimecast.com.,10.0,IN,MX
baldwincountyal.gov,,,,
balharbourfl.gov,mxb-0089e701.gslb.pphosted.com.,10.0,IN,MX
baltimorecity.gov,,,,
baltimorecountymd.gov,mail2.baltimorecountymd.gov.,10.0,IN,MX
bambergcountysc.gov,,,,
banderatx.gov,,,,
bangormaine.gov,d301060b.ess.barracudanetworks.com.,5.0,IN,MX
banknet.gov,cemailhub1in.treasury.gov.,10.0,IN,MX
bannercountyne.gov,mx2-us1.ppe-hosted.com.,5.0,IN,MX
banningca.gov,d258576b.ess.barracudanetworks.com.,20.0,IN,MX
banninglibraryca.gov,,,,
bannockcounty.gov,,,,
baraboowi.gov,,,,
barbourcountyal.gov,mx2c45.carrierzone.com.,100.0,IN,MX
barbourcountyhdwv.gov,d305853b.ess.barracudanetworks.com.,20.0,IN,MX
bardstownky.gov,,,,
barharbormaine.gov,mail2.corocota.net.,20.0,IN,MX
barlingar.gov,,,,
barnesvilleohio.gov,,,,
barnstablecounty-ma.gov,,,,
barnunnwy.gov,,,,
barnwellcountysc.gov,mx2.emailsrvr.com.,20.0,IN,MX
barona-nsn.gov,,,,
barrencountyky.gov,mx2-us1.ppe-hosted.com.,10.0,IN,MX
barrington-il.gov,d110686b.ess.barracudanetworks.com.,20.0,IN,MX
barringtonhills-il.gov,ALT1.ASPMX.L.GOOGLE.COM.,10.0,IN,MX
barroncountywi.gov,d278577b.ess.barracudanetworks.com.,20.0,IN,MX
bart.gov,mail.bart.gov.,10.0,IN,MX
bartlettil.gov,d262920b.ess.barracudanetworks.com.,20.0,IN,MX
bartonmohealth.gov,,,,
bartowcountyga.gov,d241563b.ess.barracudanetworks.com.,10.0,IN,MX
basslakewi.gov,mx2.emalsrvr.com.,20.0,IN,MX
bataviail.gov,,,,
bataviaoh.gov,mail.bataviaoh.gov.,10.0,IN,MX
batescountymo.gov,,,,
batesvillearkansas.gov,,,,
bathcountyva.gov,,,,
battlecreekmi.gov,,,,
battlefieldmo.gov,,,,
baxleyga.gov,,,,
baxtercountyar.gov,mx2.zoho.com.,20.0,IN,MX
baxtermn.gov,,,,
bayareametro.gov,,,,
baycountyfl.gov,mxb-001a6501.gslb.pphosted.com.,10.0,IN,MX
baycountyfltax.gov,,,,
bayharborislands-fl.gov,,,,
baysidewi.gov,,,,
baystlouis-ms.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
bayvilleny.gov,,,,
bayvotesfl.gov,mx1.mailhop.us.,20.0,IN,MX
bbg.gov,,,,
bcohio.gov,gw6162.fortimail.com.,1.0,IN,MX
bcutah.gov,bcutah-gov.mx2.arsmtp.com.,20.0,IN,MX
bcvwd.gov,,,,
bea.gov,mx2.bea.gov.,20.0,IN,MX
beachhaven-nj.gov,,,,
beaconny.gov,,,,
bearcreektownshipmi.gov,d264887a.ess.barracudanetworks.com.,20.0,IN,MX
beaufortcountync.gov,d267585a.ess.barracudanetworks.com.,0.0,IN,MX
beaufortcountysc.gov,mxa-006a5b01.gslb.pphosted.com.,10.0,IN,MX
beaumont-ca.gov,d185231b.ess.barracudanetworks.com.,99.0,IN,MX
beaumontca.gov,beaumontca-gov-2.fortimailcloud.com.,99.0,IN,MX
beaumonttexas.gov,,,,
beauxarts-wa.gov,,,,
beavercountypa.gov,,,,
beavercreekohio.gov,,,,
beaverheadcountymt.gov,,,,
beavertonoregon.gov,mail4.beavertonoregon.gov.,10.0,IN,MX
beavertwp-oh.gov,mx2-us1.ppe-hosted.com.,10.0,IN,MX
beckemeyeril.gov,,,,
bedfordboroughpa.gov,d316028b.ess.barracudanetworks.com.,20.0,IN,MX
bedfordchartertwpmi.gov,mx2.mtaroutes.com.,20.0,IN,MX
bedfordcountytn.gov,,,,
bedfordcountyva.gov,d267740b.ess.barracudanetworks.com.,5.0,IN,MX
bedfordheights.gov,,,,
bedfordma.gov,mx-02-us-east-2.prod.hydra.sophos.com.,100.0,IN,MX
bedfordny.gov,mx2-us1.ppe-hosted.com.,20.0,IN,MX
bedfordoh.gov,,,,
bedfordtx.gov,,,,
bedfordva.gov,d200597b.ess.barracudanetworks.com.,5.0,IN,MX
beecavetexas.gov,mx102.us.everycloudtech.com.,20.0,IN,MX
belaireks.gov,,,,
belen-nm.gov,d292436b.ess.barracudanetworks.com.,20.0,IN,MX
belgiumwi.gov,belgiumwi-gov.mx1.arsmtp.com.,30.0,IN,MX
belgrademt.gov,,,,
belknapcounty.gov,,,,
bellairetx.gov,,,,
bellavistaar.gov,,,,
belleairbluffs-fl.gov,,,,
bellefontepa.gov,mx02.hornetsecurity.com.,20.0,IN,MX
belleislefl.gov,,,,
bellemeade-ky.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
belleplaineiowa.gov,,,,
belleplainemn.gov,,,,
belleriveacresmo.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
bellevueia.gov,,,,
bellevuewa.gov,,,,
bellmeadtx.gov,,,,
bellportvillageny.gov,alt1.aspmx.l.google.com.,20.0,IN,MX
belmont-ma.gov,d246794b.ess.barracudanetworks.com.,6.0,IN,MX
belmont.gov,,,,
belmontnh.gov,,,,
belmontsheriffohio.gov,,,,
beloitwi.gov,d289085b.ess.barracudanetworks.com.,20.0,IN,MX
beltontexas.gov,mx0a-0085df01.pphosted.com.,0.0,IN,MX
belvidereil.gov,smtp2.boonecountyil.gov.,10.0,IN,MX
belviderepoliceil.gov,smtp2.boonecountysheriff.com.,10.0,IN,MX
belvideretownshipmi.gov,,,,
benbrook-tx.gov,,,,
bendoregon.gov,,,,
benefits.gov,sil-mta-dmz-02-pub.dol.gov.,50.0,IN,MX
benhillcounty-ga.gov,mx2-us1.ppe-hosted.com.,5.0,IN,MX
benningtonne.gov,,,,
benningtontownshipmi.gov,,,,
bensalempa.gov,us-smtp-inbound-2.mimecast.com.,10.0,IN,MX
bensonaz.gov,,,,
bentleyks.gov,mx01.ionos.com.,10.0,IN,MX
bentonchartertownship-mi.gov,,,,
bentoncountyar.gov,mx1.hc4341-71.iphmx.com.,5.0,IN,MX
bentoncountyia.gov,ms76679057.msv1.invalid.,32767.0,IN,MX
bentoncountyms.gov,,,,
bentoncountyor.gov,d290406b.ess.barracudanetworks.com.,20.0,IN,MX
bentoncountytn.gov,,,,
bentonil.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
bentonwi.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
benzieco.gov,,,,
bep.gov,cwmailhub1in.treasury.gov.,10.0,IN,MX
bereaky.gov,,,,
bergenfieldnj.gov,d272313b.ess.barracudanetworks.com.,5.0,IN,MX
bergenfieldnjpd.gov,,,,
berkeleyca.gov,,,,
berkeleycountysc.gov,mxb-00614902.gslb.pphosted.com.,0.0,IN,MX
berkspa.gov,,,,
berlinal.gov,,,,
berlinct.gov,,,,
berlinmd.gov,,,,
berlinnh.gov,us-smtp-inbound-2.mimecast.com.,20.0,IN,MX
berlinnhpd.gov,us-smtp-inbound-2.mimecast.com.,20.0,IN,MX
berlintwpioniami.gov,,,,
berlinvt.gov,,,,
bernardsville.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
