url,,url,exchange,preference,class,type
antiochcacommittee.gov,161,antiochcacommittee.gov,d222946b.ess.barracudanetworks.com.,10,IN,MX
antiochtownshipil.gov,165,antiochtownshipil.gov,west.smtp.mx.exch091.serverdata.net.,10,IN,MX
antrimcountymi.gov,10410,antrimcountymi.gov,d316893a.ess.barracudanetworks.com.,10,IN,MX
antrimnh.gov,167,antrimnh.gov,antrimnh-gov.mail.protection.outlook.com.,0,IN,MX
aoa.gov,10688,aoa.gov,smtp2.ees.hhs.gov.,10,IN,MX
aoc.gov,11689,aoc.gov,mx04.aoc.gov.,5,IN,MX
apachecountyaz.gov,7949,apachecountyaz.gov,apachecountyaz-gov.mail.protection.outlook.com.,0,IN,MX
apachejunctionaz.gov,168,apachejunctionaz.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
apcdca.gov,11892,apcdca.gov,cctea.org.1.0001.arsmtp.com.,10,IN,MX
apexnc.gov,170,apexnc.gov,apexnc-gov.mail.protection.outlook.com.,0,IN,MX
appletonmn.gov,171,appletonmn.gov,smtp1-mke.securence.com.,0,IN,MX
appletonwi.gov,174,appletonwi.gov,d293026a.ess.barracudanetworks.com.,10,IN,MX
applevalleyca.gov,175,applevalleyca.gov,d225007a.ess.barracudanetworks.com.,0,IN,MX
applevalleymn.gov,179,applevalleymn.gov,mailf1.applevalleymn.gov.,20,IN,MX
applevalleyut.gov,180,applevalleyut.gov,alt1.aspmx.l.google.com.,5,IN,MX
appomattoxcountyva.gov,7950,appomattoxcountyva.gov,appomattoxcountyva-gov.mail.protection.outlook.com.,10,IN,MX
appomattoxva.gov,184,appomattoxva.gov,appomattoxva-gov.mail.protection.outlook.com.,10,IN,MX
apprenticeship.gov,11023,apprenticeship.gov,sil-mta-dmz-02-pub.dol.gov.,50,IN,MX
aptx.gov,185,aptx.gov,aspmx.l.google.com.,10,IN,MX
aqmd.gov,12328,aqmd.gov,mxb-007ef401.gslb.pphosted.com.,10,IN,MX
aquinnah-ma.gov,194,aquinnah-ma.gov,mx.spamexperts.com.,10,IN,MX
ar.gov,12335,ar.gov,mail2.dis.arkansas.gov.,10,IN,MX
aransascountytx.gov,7952,aransascountytx.gov,mail.aransascounty.org.,0,IN,MX
