url,ipv4
americanfork-gov.mail.protection.outlook.com.,52.101.9.12
americanfork-gov.mail.protection.outlook.com.,52.101.8.46
americanfork-gov.mail.protection.outlook.com.,52.101.40.4
d148570b.ess.barracudanetworks.com.,209.222.82.252
d148570b.ess.barracudanetworks.com.,209.222.82.255
d148570b.ess.barracudanetworks.com.,209.222.82.253
d148570a.ess.barracudanetworks.com.,209.222.82.253
d148570a.ess.barracudanetworks.com.,209.222.82.252
d148570a.ess.barracudanetworks.com.,209.222.82.255
amerywi-gov.mail.protection.outlook.com.,52.101.10.5
amerywi-gov.mail.protection.outlook.com.,52.101.40.2
amerywi-gov.mail.protection.outlook.com.,52.101.10.2
amerywi-gov.mail.protection.outlook.com.,52.101.194.3
amerywi-gov.mail.protection.outlook.com.,52.101.9.14
amerywi-gov.mail.protection.outlook.com.,52.101.11.2
amerywi-gov.mail.protection.outlook.com.,52.101.40.0
amesburyma-gov.mail.protection.outlook.com.,52.101.8.50
amesburyma-gov.mail.protection.outlook.com.,52.101.8.52
amesburyma-gov.mail.protection.outlook.com.,52.101.11.12
amesburyma-gov.mail.protection.outlook.com.,52.101.9.19
mail.global.frontbridge.com.,104.47.43.36
amherstma-gov.mail.protection.outlook.com.,52.101.11.9
amherstma-gov.mail.protection.outlook.com.,52.101.9.17
amherstma-gov.mail.protection.outlook.com.,52.101.8.42
amherstma-gov.mail.protection.outlook.com.,52.101.41.6
amherstma-gov.mail.protection.outlook.com.,52.101.42.4
amherstma-gov.mail.protection.outlook.com.,52.101.11.3
amherstma-gov.mail.protection.outlook.com.,52.101.11.2
amherstnh-gov.mail.protection.outlook.com.,52.101.11.12
amherstnh-gov.mail.protection.outlook.com.,52.101.9.19
amherstnh-gov.mail.protection.outlook.com.,52.101.8.50
amherstnh-gov.mail.protection.outlook.com.,52.101.8.52
amherstva-gov.mail.protection.outlook.com.,104.47.59.138
amherstva-gov.mail.protection.outlook.com.,104.47.55.138
amityvillepdny-gov.mail.protection.outlook.com.,52.101.9.19
amityvillepdny-gov.mail.protection.outlook.com.,52.101.8.50
amityvillepdny-gov.mail.protection.outlook.com.,52.101.8.52
amityvillepdny-gov.mail.protection.outlook.com.,52.101.11.12
amsterdamny-gov.mx1.arsmtp.com.,8.31.233.92
amsterdamny-gov.mx2.arsmtp.com.,8.19.118.181
mxa-0000f701.gslb.pphosted.com.,67.231.144.17
mxb-0000f701.gslb.pphosted.com.,67.231.152.17
d189157b.ess.barracudanetworks.com.,209.222.82.255
d189157b.ess.barracudanetworks.com.,209.222.82.252
d189157b.ess.barracudanetworks.com.,209.222.82.253
d189157a.ess.barracudanetworks.com.,209.222.82.253
d189157a.ess.barracudanetworks.com.,209.222.82.252
d189157a.ess.barracudanetworks.com.,209.222.82.255
usb-smtp-inbound-2.mimecast.com.,170.10.150.242
usb-smtp-inbound-2.mimecast.com.,170.10.152.242
usb-smtp-inbound-1.mimecast.com.,170.10.152.242
usb-smtp-inbound-1.mimecast.com.,170.10.150.242
d120888b.ess.barracudanetworks.com.,209.222.82.252
d120888b.ess.barracudanetworks.com.,209.222.82.255
d120888b.ess.barracudanetworks.com.,209.222.82.253
d120888a.ess.barracudanetworks.com.,209.222.82.255
d120888a.ess.barracudanetworks.com.,209.222.82.252
d120888a.ess.barracudanetworks.com.,209.222.82.253
andovernh-gov01i.mail.protection.outlook.com.,52.101.8.42
andovernh-gov01i.mail.protection.outlook.com.,52.101.41.3
andovernh-gov01i.mail.protection.outlook.com.,52.101.10.2
andovernh-gov01i.mail.protection.outlook.com.,52.101.10.8
andovernh-gov01i.mail.protection.outlook.com.,52.101.9.5
andovernh-gov01i.mail.protection.outlook.com.,52.101.11.9
andovernh-gov01i.mail.protection.outlook.com.,52.101.9.14
andrewsnc-gov.mail.protection.outlook.com.,52.101.41.0
andrewsnc-gov.mail.protection.outlook.com.,52.101.40.0
andrewsnc-gov.mail.protection.outlook.com.,52.101.10.2
andrewsnc-gov.mail.protection.outlook.com.,52.101.41.6
andrewsnc-gov.mail.protection.outlook.com.,52.101.10.5
andrewsnc-gov.mail.protection.outlook.com.,52.101.10.1
andrewsnc-gov.mail.protection.outlook.com.,52.101.42.4
mx1-us.emailsecurity.app.,52.179.17.190
mx2-us.emailsecurity.app.,52.179.17.190
d277736b.ess.barracudanetworks.com.,209.222.82.255
d277736b.ess.barracudanetworks.com.,209.222.82.253
d277736b.ess.barracudanetworks.com.,209.222.82.252
d277736a.ess.barracudanetworks.com.,209.222.82.253
d277736a.ess.barracudanetworks.com.,209.222.82.252
d277736a.ess.barracudanetworks.com.,209.222.82.255
mx-cluster-usa03.hornetsecurity.com.,173.45.18.100
mx-cluster-usa04.hornetsecurity.com.,173.45.18.100
mx-cluster-usa01.hornetsecurity.com.,173.45.18.100
mx-cluster-usa02.hornetsecurity.com.,173.45.18.100
mx1.emailsrvr.com.,184.106.54.1
mx2.emailsrvr.com.,146.20.161.2
annistonal-gov.mail.protection.outlook.com.,52.101.10.8
annistonal-gov.mail.protection.outlook.com.,52.101.8.32
annistonal-gov.mail.protection.outlook.com.,52.101.40.24
annistonal-gov.mail.protection.outlook.com.,52.101.8.44
annistonal-gov.mail.protection.outlook.com.,52.101.8.42
annistonal-gov.mail.protection.outlook.com.,52.101.11.3
annistonal-gov.mail.protection.outlook.com.,52.101.11.10
d222948b.ess.barracudanetworks.com.,209.222.82.255
d222948b.ess.barracudanetworks.com.,209.222.82.252
d222948b.ess.barracudanetworks.com.,209.222.82.253
d222948a.ess.barracudanetworks.com.,209.222.82.252
d222948a.ess.barracudanetworks.com.,209.222.82.255
d222948a.ess.barracudanetworks.com.,209.222.82.253
d222947a.ess.barracudanetworks.com.,209.222.82.253
d222947a.ess.barracudanetworks.com.,209.222.82.255
d222947a.ess.barracudanetworks.com.,209.222.82.252
d222947b.ess.barracudanetworks.com.,209.222.82.252
d222947b.ess.barracudanetworks.com.,209.222.82.253
d222947b.ess.barracudanetworks.com.,209.222.82.255
d222946b.ess.barracudanetworks.com.,209.222.82.252
d222946b.ess.barracudanetworks.com.,209.222.82.253
d222946b.ess.barracudanetworks.com.,209.222.82.255
d222946a.ess.barracudanetworks.com.,209.222.82.253
d222946a.ess.barracudanetworks.com.,209.222.82.255
d222946a.ess.barracudanetworks.com.,209.222.82.252
d185714a.ess.barracudanetworks.com.,209.222.82.255
d185714a.ess.barracudanetworks.com.,209.222.82.252
d185714a.ess.barracudanetworks.com.,209.222.82.253
d185714b.ess.barracudanetworks.com.,209.222.82.252
d185714b.ess.barracudanetworks.com.,209.222.82.255
d185714b.ess.barracudanetworks.com.,209.222.82.253
west.smtp.mx.exch091.serverdata.net.,199.193.206.123
east.smtp.mx.exch091.serverdata.net.,64.78.24.70
antrimnh-gov.mail.protection.outlook.com.,104.47.59.138
antrimnh-gov.mail.protection.outlook.com.,104.47.55.138
apexnc-gov.mail.protection.outlook.com.,52.101.8.52
apexnc-gov.mail.protection.outlook.com.,52.101.8.50
apexnc-gov.mail.protection.outlook.com.,52.101.9.19
apexnc-gov.mail.protection.outlook.com.,52.101.11.12
smtp1-mke.securence.com.,216.17.3.48
smtp1-msp.securence.com.,216.17.3.48
d293026b.ess.barracudanetworks.com.,209.222.82.255
d293026b.ess.barracudanetworks.com.,209.222.82.252
d293026b.ess.barracudanetworks.com.,209.222.82.253
d293026a.ess.barracudanetworks.com.,209.222.82.255
d293026a.ess.barracudanetworks.com.,209.222.82.252
d293026a.ess.barracudanetworks.com.,209.222.82.253
d225007a.ess.barracudanetworks.com.,209.222.82.253
d225007a.ess.barracudanetworks.com.,209.222.82.255
d225007a.ess.barracudanetworks.com.,209.222.82.252
d225007b.ess.barracudanetworks.com.,209.222.82.252
d225007b.ess.barracudanetworks.com.,209.222.82.253
d225007b.ess.barracudanetworks.com.,209.222.82.255
applevalleymn-gov.mail.protection.outlook.com.,52.101.9.19
applevalleymn-gov.mail.protection.outlook.com.,52.101.8.50
applevalleymn-gov.mail.protection.outlook.com.,52.101.11.12
applevalleymn-gov.mail.protection.outlook.com.,52.101.8.52
mailf2.applevalleymn.gov.,156.142.109.45
mailf1.applevalleymn.gov.,156.142.109.44
appomattoxva-gov.mail.protection.outlook.com.,52.101.194.3
appomattoxva-gov.mail.protection.outlook.com.,52.101.42.9
appomattoxva-gov.mail.protection.outlook.com.,52.101.10.8
appomattoxva-gov.mail.protection.outlook.com.,52.101.8.36
appomattoxva-gov.mail.protection.outlook.com.,52.101.41.3
appomattoxva-gov.mail.protection.outlook.com.,52.101.42.4
appomattoxva-gov.mail.protection.outlook.com.,52.101.8.42
aspmx4.googlemail.com.,64.233.186.27
aspmx5.googlemail.com.,209.85.202.26
fallbackmx.spamexperts.eu.,38.111.198.185
fallbackmx.spamexperts.eu.,38.109.53.20
fallbackmx.spamexperts.eu.,38.89.254.156
lastmx.spamexperts.net.,154.59.104.23
lastmx.spamexperts.net.,38.89.254.156
lastmx.spamexperts.net.,149.13.75.27
lastmx.spamexperts.net.,38.111.198.185
mx.spamexperts.com.,38.111.198.185
arcadami.gov.,50.28.9.200
d166201a.ess.barracudanetworks.com.,209.222.82.252
d166201a.ess.barracudanetworks.com.,209.222.82.255
d166201a.ess.barracudanetworks.com.,209.222.82.253
d166201b.ess.barracudanetworks.com.,209.222.82.253
d166201b.ess.barracudanetworks.com.,209.222.82.252
d166201b.ess.barracudanetworks.com.,209.222.82.255
cuda1.crossvalley.com.,173.163.154.140
cuda2.crossvalley.com.,173.163.1.145
archdalenc-gov02b.mail.protection.outlook.com.,52.101.9.19
archdalenc-gov02b.mail.protection.outlook.com.,52.101.8.50
archdalenc-gov02b.mail.protection.outlook.com.,52.101.11.12
archdalenc-gov02b.mail.protection.outlook.com.,52.101.8.52
archerlodgenc-gov.mail.protection.outlook.com.,104.47.59.138
archerlodgenc-gov.mail.protection.outlook.com.,104.47.66.10
archerlodgenc-gov.mail.protection.outlook.com.,52.101.42.4
archerlodgenc-gov.mail.protection.outlook.com.,52.101.9.12
arcoidaho-gov.mail.protection.outlook.com.,52.101.42.4
arcoidaho-gov.mail.protection.outlook.com.,52.101.11.10
arcoidaho-gov.mail.protection.outlook.com.,52.101.40.2
arcoidaho-gov.mail.protection.outlook.com.,52.101.42.13
arcoidaho-gov.mail.protection.outlook.com.,52.101.41.6
arcoidaho-gov.mail.protection.outlook.com.,52.101.10.5
arcoidaho-gov.mail.protection.outlook.com.,52.101.8.32
arcolapdtx-gov.mail.protection.outlook.com.,52.101.9.19
arcolapdtx-gov.mail.protection.outlook.com.,52.101.8.50
arcolapdtx-gov.mail.protection.outlook.com.,52.101.8.52
arcolapdtx-gov.mail.protection.outlook.com.,52.101.11.12
arcolatexas-gov.mail.protection.outlook.com.,52.101.10.5
arcolatexas-gov.mail.protection.outlook.com.,52.101.8.32
arcolatexas-gov.mail.protection.outlook.com.,52.101.42.4
arcolatexas-gov.mail.protection.outlook.com.,52.101.11.10
arcolatexas-gov.mail.protection.outlook.com.,52.101.40.2
arcolatexas-gov.mail.protection.outlook.com.,52.101.42.13
arcolatexas-gov.mail.protection.outlook.com.,52.101.41.6
ardmoreok-gov.mail.protection.outlook.com.,104.47.55.138
ardmoreok-gov.mail.protection.outlook.com.,104.47.66.10
mail.cjissolutions.com.,69.160.255.12
arkansascityks-gov.mail.protection.outlook.com.,52.101.9.19
arkansascityks-gov.mail.protection.outlook.com.,52.101.8.50
arkansascityks-gov.mail.protection.outlook.com.,52.101.8.52
arkansascityks-gov.mail.protection.outlook.com.,52.101.11.12
d241978b.ess.barracudanetworks.com.,209.222.82.253
d241978b.ess.barracudanetworks.com.,209.222.82.255
d241978b.ess.barracudanetworks.com.,209.222.82.252
d241978a.ess.barracudanetworks.com.,209.222.82.253
d241978a.ess.barracudanetworks.com.,209.222.82.252
d241978a.ess.barracudanetworks.com.,209.222.82.255
arlingtonmn-gov.mail.protection.outlook.com.,52.101.11.12
arlingtonmn-gov.mail.protection.outlook.com.,52.101.8.52
arlingtonmn-gov.mail.protection.outlook.com.,52.101.9.19
arlingtonmn-gov.mail.protection.outlook.com.,52.101.8.50
arlingtonne-gov.mail.protection.outlook.com.,52.101.8.34
arlingtonne-gov.mail.protection.outlook.com.,52.101.42.9
arlingtonne-gov.mail.protection.outlook.com.,52.101.40.1
arlingtonne-gov.mail.protection.outlook.com.,52.101.9.12
arlingtonne-gov.mail.protection.outlook.com.,52.101.8.46
arlingtonne-gov.mail.protection.outlook.com.,52.101.40.4
arlingtonne-gov.mail.protection.outlook.com.,52.101.40.0
mxb-003aba01.gslb.pphosted.com.,148.163.134.86
mxa-003aba01.gslb.pphosted.com.,148.163.134.86
d138933a.ess.barracudanetworks.com.,209.222.82.252
d138933a.ess.barracudanetworks.com.,209.222.82.253
d138933a.ess.barracudanetworks.com.,209.222.82.255
