queried,exchange,preference,class,type
baileysharborwi.gov,baileysharborwi-gov.mail.protection.outlook.com.,0,IN,MX
bainbridgewa.gov,bainbridgewa-gov.mail.protection.outlook.com.,0,IN,MX
bakercity.gov,bakercity-gov.mail.protection.outlook.com.,0,IN,MX
bakercitypd.gov,bakercitypd-gov.mail.protection.outlook.com.,0,IN,MX
baldwincity.gov,usb-smtp-inbound-2.mimecast.com.,10,IN,MX
baldwincity.gov,usb-smtp-inbound-1.mimecast.com.,10,IN,MX
balharbourfl.gov,mxb-0089e701.gslb.pphosted.com.,10,IN,MX
balharbourfl.gov,mxa-0089e701.gslb.pphosted.com.,10,IN,MX
baltimorecity.gov,mail.baltimorecity.gov.,5,IN,MX
banderatx.gov,banderatx-gov.mail.protection.outlook.com.,0,IN,MX
bangormaine.gov,d301060a.ess.barracudanetworks.com.,0,IN,MX
bangormaine.gov,d301060b.ess.barracudanetworks.com.,5,IN,MX
banningca.gov,d258576a.ess.barracudanetworks.com.,10,IN,MX
banningca.gov,d258576b.ess.barracudanetworks.com.,20,IN,MX
baraboowi.gov,baraboowi-gov.mail.protection.outlook.com.,0,IN,MX
bardstownky.gov,Bardstownky-gov.mail.protection.outlook.com.,10,IN,MX
barharbormaine.gov,mail2.corocota.net.,20,IN,MX
barharbormaine.gov,mail.barharbormaine.gov.,10,IN,MX
barlingar.gov,mail.barlingar.gov.,0,IN,MX
barnesvilleohio.gov,barnesvilleohio.gov.,0,IN,MX
barnunnwy.gov,barnunnwy-gov.mail.protection.outlook.com.,0,IN,MX
barringtonhills-il.gov,ALT1.ASPMX.L.GOOGLE.COM.,10,IN,MX
barringtonhills-il.gov,ASPMX.L.GOOGLE.COM.,0,IN,MX
barringtonhills-il.gov,ALT2.ASPMX.L.GOOGLE.COM.,20,IN,MX
barringtonhills-il.gov,ALT3.ASPMX.L.GOOGLE.COM.,30,IN,MX
barringtonhills-il.gov,ALT4.ASPMX.L.GOOGLE.COM.,40,IN,MX
barrington-il.gov,d110686a.ess.barracudanetworks.com.,15,IN,MX
barrington-il.gov,d110686b.ess.barracudanetworks.com.,20,IN,MX
bartlettil.gov,d262920a.ess.barracudanetworks.com.,10,IN,MX
bartlettil.gov,d262920b.ess.barracudanetworks.com.,20,IN,MX
basslakewi.gov,mx1.emailsrvr.com.,10,IN,MX
basslakewi.gov,mx2.emalsrvr.com.,20,IN,MX
bataviail.gov,bataviail-gov.mail.protection.outlook.com.,0,IN,MX
bataviaoh.gov,bataviaoh-gov.mail.protection.outlook.com.,0,IN,MX
bataviaoh.gov,mail.bataviaoh.gov.,10,IN,MX
batesvillearkansas.gov,batesvillearkansas.gov.,10,IN,MX
battlecreekmi.gov,battlecreekmi-gov.mail.protection.outlook.com.,10,IN,MX
battlefieldmo.gov,battlefieldmo-gov.mail.protection.outlook.com.,0,IN,MX
baxleyga.gov,baxleyga-gov.mail.protection.outlook.com.,0,IN,MX
baxtermn.gov,baxtermn-gov.mail.protection.outlook.com.,0,IN,MX
bayharborislands-fl.gov,bayharborislandsfl-gov04b.mail.protection.outlook.com.,0,IN,MX
baysidewi.gov,baysidewi-gov.mail.protection.outlook.com.,0,IN,MX
baystlouis-ms.gov,alt2.aspmx.l.google.com.,5,IN,MX
baystlouis-ms.gov,alt1.aspmx.l.google.com.,5,IN,MX
baystlouis-ms.gov,alt4.aspmx.l.google.com.,10,IN,MX
baystlouis-ms.gov,aspmx.l.google.com.,1,IN,MX
baystlouis-ms.gov,alt3.aspmx.l.google.com.,10,IN,MX
bayvilleny.gov,bayvilleny-gov.mail.protection.outlook.com.,0,IN,MX
bcutah.gov,bcutah-gov.mx1.arsmtp.com.,10,IN,MX
bcutah.gov,bcutah-gov.mx2.arsmtp.com.,20,IN,MX
beachhaven-nj.gov,host.beachhaven-nj.gov.,10,IN,MX
beaconny.gov,beaconny.in.tmes.trendmicro.com.,0,IN,MX
bearcreektownshipmi.gov,nospam.commonangle.com.,10,IN,MX
bearcreektownshipmi.gov,d264887a.ess.barracudanetworks.com.,20,IN,MX
bearcreektownshipmi.gov,d264887b.ess.barracudanetworks.com.,30,IN,MX
beaumont-ca.gov,d185231b.ess.barracudanetworks.com.,99,IN,MX
beaumont-ca.gov,d185231a.ess.barracudanetworks.com.,99,IN,MX
beaumontca.gov,beaumontca-gov-1.fortimailcloud.com.,99,IN,MX
beaumontca.gov,beaumontca-gov-2.fortimailcloud.com.,99,IN,MX
beaumonttexas.gov,beaumonttexas-gov.mail.protection.outlook.com.,0,IN,MX
beauxarts-wa.gov,beauxartswa-gov02c.mail.protection.outlook.com.,0,IN,MX
beavercreekohio.gov,beavercreekohio.in.tmes.trendmicro.com.,0,IN,MX
beavertonoregon.gov,mail4.beavertonoregon.gov.,10,IN,MX
beavertonoregon.gov,mail3.beavertonoregon.gov.,10,IN,MX
beavertwp-oh.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
beavertwp-oh.gov,mx2-us1.ppe-hosted.com.,10,IN,MX
beckemeyeril.gov,mail.beckemeyeril.gov.,10,IN,MX
bedfordboroughpa.gov,d316028b.ess.barracudanetworks.com.,20,IN,MX
bedfordboroughpa.gov,bedfordboroughpa-gov.mail.protection.outlook.com.,99,IN,MX
bedfordboroughpa.gov,d316028a.ess.barracudanetworks.com.,10,IN,MX
bedfordchartertwpmi.gov,mx2.mtaroutes.com.,20,IN,MX
bedfordchartertwpmi.gov,mx4.mtaroutes.com.,40,IN,MX
bedfordchartertwpmi.gov,mx3.mtaroutes.com.,30,IN,MX
bedfordchartertwpmi.gov,mx1.mtaroutes.com.,10,IN,MX
bedfordheights.gov,bedfordheights-gov.mail.protection.outlook.com.,0,IN,MX
bedfordma.gov,mx-01-us-east-2.prod.hydra.sophos.com.,0,IN,MX
bedfordma.gov,mx-02-us-east-2.prod.hydra.sophos.com.,100,IN,MX
bedfordny.gov,mx2-us1.ppe-hosted.com.,20,IN,MX
bedfordny.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
bedfordoh.gov,bedfordoh-gov.mail.protection.outlook.com.,0,IN,MX
